Tanggal,Bahan_pangan,Daerah,Harga_lag_1,Harga_lag_7,Harga_lag_30,Google_trends,Harga
2024-10-01,Bawang Merah,Aceh,28960,27700,26390,0,0
2024-10-01,Bawang Merah,Bali,24230,24240,21250,0,0
2024-10-01,Bawang Merah,Banten,27940,25910,25520,0,0
2024-10-01,Bawang Merah,Bengkulu,27390,26960,23840,0,0
2024-10-01,Bawang Merah,DI Yogyakarta,24450,22240,19600,0,0
2024-10-01,Bawang Merah,DKI Jakarta,30370,29880,29400,0,0
2024-10-01,Bawang Merah,Gorontalo,32730,32760,25300,0,0
2024-10-01,Bawang Merah,Jambi,25900,24270,20570,0,0
2024-10-01,Bawang Merah,Jawa Barat,25530,24460,23900,0,0
2024-10-01,Bawang Merah,Jawa Tengah,24180,23340,22490,0,0
2024-10-01,Bawang Merah,Jawa Timur,22300,22030,19600,0,0
2024-10-01,Bawang Merah,Kalimantan Barat,30430,30460,28670,0,0
2024-10-01,Bawang Merah,Kalimantan Selatan,25270,25420,22990,0,0
2024-10-01,Bawang Merah,Kalimantan Tengah,29380,28870,26310,0,0
2024-10-01,Bawang Merah,Kalimantan Timur,32540,33110,29520,0,0
2024-10-01,Bawang Merah,Kalimantan Utara,36100,36180,33190,0,0
2024-10-01,Bawang Merah,Kepulauan Bangka Belitung,29920,29030,27160,0,0
2024-10-01,Bawang Merah,Kepulauan Riau,36130,34830,34580,0,0
2024-10-01,Bawang Merah,Lampung,24190,22960,21490,0,0
2024-10-01,Bawang Merah,Maluku Utara,45830,47410,47340,0,0
2024-10-01,Bawang Merah,Maluku,35820,36120,35880,0,0
2024-10-01,Bawang Merah,Nusa Tenggara Barat,19300,20410,18770,0,0
2024-10-01,Bawang Merah,Nusa Tenggara Timur,20230,19990,21710,0,0
2024-10-01,Bawang Merah,Papua Barat,49960,50360,54370,0,0
2024-10-01,Bawang Merah,Papua,47610,48520,48360,0,0
2024-10-01,Bawang Merah,Riau,28760,28290,24170,0,0
2024-10-01,Bawang Merah,Sulawesi Barat,26240,30510,22310,0,0
2024-10-01,Bawang Merah,Sulawesi Selatan,26350,26910,21580,0,0
2024-10-01,Bawang Merah,Sulawesi Tengah,33820,33640,26790,0,0
2024-10-01,Bawang Merah,Sulawesi Tenggara,30260,30420,27780,0,0
2024-10-01,Bawang Merah,Sulawesi Utara,34350,35870,31230,0,0
2024-10-01,Bawang Merah,Sumatera Barat,27630,26180,20010,0,0
2024-10-01,Bawang Merah,Sumatera Selatan,26100,25000,22230,0,0
2024-10-01,Bawang Merah,Sumatera Utara,27150,25560,25250,0,0
2024-10-01,Bawang Putih Bonggol,Aceh,39110,39340,39280,0,0
2024-10-01,Bawang Putih Bonggol,Bali,35530,35700,35530,0,0
2024-10-01,Bawang Putih Bonggol,Banten,39250,38970,38660,0,0
2024-10-01,Bawang Putih Bonggol,Bengkulu,39100,39490,38680,0,0
2024-10-01,Bawang Putih Bonggol,DI Yogyakarta,36090,36170,34670,0,0
2024-10-01,Bawang Putih Bonggol,DKI Jakarta,40520,40520,40520,0,0
2024-10-01,Bawang Putih Bonggol,Gorontalo,44480,45320,44510,0,0
2024-10-01,Bawang Putih Bonggol,Jambi,37430,37470,36800,0,0
2024-10-01,Bawang Putih Bonggol,Jawa Barat,38400,38350,38670,0,0
2024-10-01,Bawang Putih Bonggol,Jawa Tengah,35630,35930,35880,0,0
2024-10-01,Bawang Putih Bonggol,Jawa Timur,34950,34940,35080,0,0
