Tanggal,Bahan_pangan,Daerah,Harga_lag_1,Harga_lag_7,Harga_lag_30,Google_trends,Harga,MYRUSD,THBUSD,USDIDR,SGDIDR
2024-10-01,Bawang Merah,Aceh,28960,27700,26390,36,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Bali,24230,24240,21250,41,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Banten,27940,25910,25520,30,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Bengkulu,27390,26960,23840,35,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,DI Yogyakarta,24450,22240,19600,35,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,DKI Jakarta,30370,29880,29400,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Gorontalo,32730,32760,25300,36,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Jambi,25900,24270,20570,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Jawa Barat,25530,24460,23900,44,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Jawa Tengah,24180,23340,22490,47,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Jawa Timur,22300,22030,19600,47,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Kalimantan Barat,30430,30460,28670,47,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Kalimantan Selatan,25270,25420,22990,45,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Kalimantan Tengah,29380,28870,26310,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Kalimantan Timur,32540,33110,29520,43,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Kalimantan Utara,36100,36180,33190,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Kepulauan Bangka Belitung,29920,29030,27160,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Kepulauan Riau,36130,34830,34580,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Lampung,24190,22960,21490,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Maluku Utara,45830,47410,47340,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Maluku,35820,36120,35880,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Nusa Tenggara Barat,19300,20410,18770,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Nusa Tenggara Timur,20230,19990,21710,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Papua Barat,49960,50360,54370,38,0,3379.0,430.0,14726.0,3379.0
