Bahan_pangan,Daerah,Year,Month,Day,Weekday,Google_trends
0,0,2024,10,1,1,35.722317
0,1,2024,10,1,1,40.506355
0,2,2024,10,1,1,30.250156
0,3,2024,10,1,1,34.963135
0,4,2024,10,1,1,34.69674
0,5,2024,10,1,1,38.68912
0,6,2024,10,1,1,36.493298
0,7,2024,10,1,1,37.105183
0,8,2024,10,1,1,43.664894
0,9,2024,10,1,1,46.83776
0,10,2024,10,1,1,46.83776
0,11,2024,10,1,1,47.153618
0,12,2024,10,1,1,44.84992
0,13,2024,10,1,1,36.940777
0,14,2024,10,1,1,42.64123
0,15,2024,10,1,1,37.323902
0,16,2024,10,1,1,37.323902
0,17,2024,10,1,1,37.38871
0,18,2024,10,1,1,37.249165
0,20,2024,10,1,1,37.83917
0,19,2024,10,1,1,38.883186
0,21,2024,10,1,1,37.8253
0,22,2024,10,1,1,38.274147
0,24,2024,10,1,1,38.423214
0,23,2024,10,1,1,38.463566
0,25,2024,10,1,1,38.13709
0,26,2024,10,1,1,39.063786
0,27,2024,10,1,1,38.032784
0,28,2024,10,1,1,40.76851
0,29,2024,10,1,1,40.140495
0,30,2024,10,1,1,38.002403
0,31,2024,10,1,1,38.991096
0,32,2024,10,1,1,37.679188
0,33,2024,10,1,1,37.679188
1,0,2024,10,1,1,36.144985
1,1,2024,10,1,1,37.46923
1,2,2024,10,1,1,42.65419
1,3,2024,10,1,1,35.306305
1,4,2024,10,1,1,37.521935
1,5,2024,10,1,1,36.773685
1,6,2024,10,1,1,36.667065
1,7,2024,10,1,1,36.86682
1,8,2024,10,1,1,56.88605
1,9,2024,10,1,1,49.68748
1,10,2024,10,1,1,49.68748
1,11,2024,10,1,1,56.139465
1,12,2024,10,1,1,41.176006
1,13,2024,10,1,1,37.8044
1,14,2024,10,1,1,39.04567
1,15,2024,10,1,1,37.508896
1,16,2024,10,1,1,37.508896
1,17,2024,10,1,1,37.573704
1,18,2024,10,1,1,37.119392
1,20,2024,10,1,1,38.170567
1,19,2024,10,1,1,38.053295
1,21,2024,10,1,1,37.99328
1,22,2024,10,1,1,38.462433
1,24,2024,10,1,1,38.77318
1,23,2024,10,1,1,38.738453
1,25,2024,10,1,1,38.22758
1,26,2024,10,1,1,39.128582
1,27,2024,10,1,1,37.664104
1,28,2024,10,1,1,39.589626
1,29,2024,10,1,1,39.901184
1,30,2024,10,1,1,38.257458
1,31,2024,10,1,1,39.303722
1,32,2024,10,1,1,38.43902
1,33,2024,10,1,1,38.43902
2,0,2024,10,1,1,36.06793
2,1,2024,10,1,1,36.813328
2,2,2024,10,1,1,29.482456
2,3,2024,10,1,1,34.51942
2,4,2024,10,1,1,37.351765
2,5,2024,10,1,1,34.128777
2,6,2024,10,1,1,36.224373
2,7,2024,10,1,1,35.635857
2,8,2024,10,1,1,32.504868
2,9,2024,10,1,1,39.732132
2,10,2024,10,1,1,39.732132
2,11,2024,10,1,1,43.467857
2,12,2024,10,1,1,45.159767
2,13,2024,10,1,1,38.115417
2,14,2024,10,1,1,32.15812
2,15,2024,10,1,1,39.741764
2,16,2024,10,1,1,39.741764
2,17,2024,10,1,1,40.40127
2,18,2024,10,1,1,37.94758
2,20,2024,10,1,1,39.28932
2,19,2024,10,1,1,43.73627
2,21,2024,10,1,1,38.129417
2,22,2024,10,1,1,36.788635
2,24,2024,10,1,1,37.88913
2,23,2024,10,1,1,35.984962
2,25,2024,10,1,1,37.524597
2,26,2024,10,1,1,44.077293
2,27,2024,10,1,1,36.8781
2,28,2024,10,1,1,40.32914
2,29,2024,10,1,1,40.991577
2,30,2024,10,1,1,38.882576
2,31,2024,10,1,1,42.805695
2,32,2024,10,1,1,41.351868
2,33,2024,10,1,1,41.351868
3,0,2024,10,1,1,37.16979
3,1,2024,10,1,1,37.984413
3,2,2024,10,1,1,30.812023
3,3,2024,10,1,1,35.80872
3,4,2024,10,1,1,38.072594
3,5,2024,10,1,1,34.95795
3,6,2024,10,1,1,37.597965
3,7,2024,10,1,1,36.9331
3,8,2024,10,1,1,34.02755
3,9,2024,10,1,1,41.67517
3,10,2024,10,1,1,41.67517
3,11,2024,10,1,1,44.63984
3,12,2024,10,1,1,49.402077
3,13,2024,10,1,1,36.951237
3,14,2024,10,1,1,30.060287
3,15,2024,10,1,1,38.420372
3,16,2024,10,1,1,38.420372
3,17,2024,10,1,1,39.06175
3,18,2024,10,1,1,36.719185
3,20,2024,10,1,1,38.18536
3,19,2024,10,1,1,42.63231
3,21,2024,10,1,1,37.909073
3,22,2024,10,1,1,36.512775
3,24,2024,10,1,1,38.68382
3,23,2024,10,1,1,36.113026
3,25,2024,10,1,1,38.319286
3,26,2024,10,1,1,42.325947
3,27,2024,10,1,1,37.909187
3,28,2024,10,1,1,39.406994
3,29,2024,10,1,1,38.99527
3,30,2024,10,1,1,38.4871
3,31,2024,10,1,1,45.349762
3,32,2024,10,1,1,45.541737
3,33,2024,10,1,1,45.541737
4,0,2024,10,1,1,37.16979
4,1,2024,10,1,1,37.984413
4,2,2024,10,1,1,30.812023
4,3,2024,10,1,1,35.80872
4,4,2024,10,1,1,38.072594
4,5,2024,10,1,1,34.95795
